URL,Duration,Status,Title,Date,Tags,Description
https://realpython.com/python-rock-paper-scissors/, , ,Make Your First Python Game: Rock, Paper, Scissors!,Jan 18, 2021,basicsgamedevprojects,"In this tutorial, you'll learn to program rock paper scissors in Python from scratch. You'll learn how to take in user input, make the computer choose a random action, determine a winner, and split your code into functions."
https://realpython.com/how-long-does-it-take-to-learn-python/,22m, ,How Long Does It Take to Learn Python?,Sep 06, 2021,basicscareercommunity,"In this article, you'll assess whether or not learning Python is a good investment of your time, how long it will take you, and what background factors you need to consider when planning your learning journey. You'll also learn what resources exist that can help you get started."
https://realpython.com/python-gui-tkinter/,1h27m, ,Python GUI Programming: Your Tkinter Tutorial,Dec 07, 2024,basicsgui,"Complete an interactive tutorial for Python's GUI library Tkinter. Add buttons, text boxes, widgets, event handlers, and more while building two GUI apps."
https://realpython.com/popular-python-tutorials-2024/,10m, ,Learn From 2024's Most Popular Python Tutorials and Courses,Jan 01, 2025,basicscommunitynews,"Revisit your favorite Real Python tutorials and courses from 2024. Explore a wide range of topics, from mastering Python basics to building innovative projects and optimizing your workflow. It’s been an exciting year of learning, and there’s plenty to build on in 2025."
https://realpython.com/python-dice-roll/,27m, ,Build a Dice-Rolling Application With Python,Feb 02, 2025,basicsprojects,"In this step-by-step project, you'll build a dice-rolling simulator app with a minimal text-based user interface using Python. The app will simulate the rolling of up to six dice. Each individual die will have six sides."
https://realpython.com/hangman-python-pysimplegui/,46m, ,Build a Hangman Game With Python and PySimpleGUI,Dec 06, 2023,basicsgamedevprojectspython,"In this step-by-step tutorial, you'll learn how to write the game of hangman in Python with a PySimpleGUI-based interface. You'll see how to structure the game, build its GUI, and program the game's logic and rules."
https://realpython.com/remove-item-from-list-python/,19m, ,How to Remove Items From Lists in Python,Dec 23, 2024,basicspython,"In this how-to guide, you'll explore different ways to remove items from lists in Python. Using practical examples, like managing a library book list and a contact book application, you'll learn efficient techniques for handling list item removal."
https://realpython.com/python-introduction/,5m,Completed,Introduction to Python 3,May 21, 2018,basicscareer,"An overview of the Python programming language, including a brief history of the development of Python and reasons why you might select Python as your language of choice."
https://realpython.com/ipython-interactive-python-shell/,34m, ,Unlock IPython's Magical Toolbox for Your Coding Journey,Jul 12, 2023,basicseditorstools,"IPython is a powerful tool that can prove useful on your journey to mastering Python. Its friendly interface will enable you to comfortably take control of your learning. In this tutorial, you'll cover the basic concepts of using IPython and learn how its features can make coding efficient."
https://realpython.com/html-css-python/,49m, ,HTML and CSS for Python Developers,Jan 11, 2025,basicsdjangoflaskfront-endweb-dev,"There's no way around HTML and CSS when you want to build web apps. Even if you're not aiming to become a web developer, knowing the basics of HTML and CSS will help you understand the Web better. In this tutorial, you'll get an introduction to HTML and CSS for Python programmers."
https://realpython.com/python-coding-setup-windows/,49m, ,Your Python Coding Environment on Windows: Setup Guide,Jul 25, 2022,basicstools,"With this opinionated guide to setting up a basic, fully featured and flexible setup for Python coding and open source contributing when working from Windows, you'll go from a fresh install to ready to contribute, and even check out a PowerShell script to automate much of the process."
https://realpython.com/numpy-max-maximum/,34m, ,NumPy's max() and maximum(): Find Extreme Values in Arrays,Jan 18, 2025,basicsdata-sciencenumpy,"In this introduction to NumPy, you'll learn how to find extreme values using the max() and maximum() functions. This includes finding the maximum element in an array or along a given axis of an array, as well as comparing two arrays to find the larger element in each index position."
https://realpython.com/python-project-documentation-with-mkdocs/,46m, ,Build Your Python Project Documentation With MkDocs,Jun 15, 2022,basicsprojectstools,"In this tutorial, you'll learn how to build professional documentation for a Python package using MkDocs and mkdocstrings. These tools allow you to generate nice-looking and modern documentation from Markdown files and, more importantly, from your code's docstrings."
https://realpython.com/python-quiz-application/,1h19m, ,Build a Quiz Application With Python,Feb 02, 2025,basicsprojects,"In this step-by-step project, you'll build a Python quiz application for the terminal. Your app will ask you multiple-choice questions that you can use to strengthen your own knowledge or challenge your friends to test theirs."
https://realpython.com/python-basics-paperback/,7m, ,Python Basics: Paperback Now Available!,Apr 26, 2021,basicscommunity,"After years of writing, reviewing, and testing, we’re delighted to announce that Python Basics: A Practical Introduction to Python 3 is now available in paperback! In this article, you’ll see how you can level up your Python with Python Basics and how other Pythonistas have already been doing it."
https://realpython.com/python-first-steps/,1h, ,How to Use Python: Your First Steps,Jan 25, 2021,basicspython,"In this step-by-step tutorial, you'll learn the basics of how to use Python. With this knowledge, you'll be able to start coding your Python applications."
https://realpython.com/python-numbers/,34m, ,Numbers in Python,Sep 16, 2020,basicspython,"In this tutorial, you'll learn about numbers and basic math in Python. You'll explore integer, floating-point numbers, and complex numbers and see how perform calculations using Python's arithmetic operators, math functions, and number methods."
https://realpython.com/python-keywords/,52m, ,Python Keywords: An Introduction,Feb 12, 2025,basicspython,"Python keywords are the fundamental building blocks of any Python program. In this tutorial, you'll learn the basic syntax and usage of each of Python's thirty-five keywords and four soft keywords so you can write more efficient and readable code."
https://realpython.com/beginners-guide-python-turtle/,34m, ,The Beginner's Guide to Python Turtle,Feb 26, 2020,basicspython,"In this step-by-step tutorial, you'll learn the basics of Python programming with the help of a simple and interactive Python library called turtle. If you're a beginner to Python, then this tutorial will definitely help you on your journey as you take your first steps into the world of programming."
https://realpython.com/python-comments-guide/,18m, ,Writing Comments in Python (Guide),Nov 05, 2018,basicsbest-practices,"Learn how to write Python comments that are clean, concise, and useful. Quickly get up to speed on what the best practices are, which types of comments it's best to avoid, and how you can practice writing cleaner comments."
https://realpython.com/build-python-turtle-game-space-invaders-clone/,45m, ,Build a Python Turtle Game: Space Invaders Clone,Mar 20, 2024,basicspython,"In this step-by-step tutorial, you'll use Python's turtle module to write a Space Invaders clone. You'll learn about techniques used in animations and games, and consolidate your knowledge of key Python topics."
https://realpython.com/what-is-pip/,37m, ,Using Python's pip to Manage Your Projects' Dependencies,Dec 22, 2024,basicstools,"What is pip? In this beginner-friendly tutorial, you'll learn how to use pip, the standard package manager for Python, so that you can install and manage packages that aren't part of the Python standard library."
https://realpython.com/python-exceptions/,24m, ,Python Exceptions: An Introduction,Dec 01, 2024,basicspython,"In this beginner tutorial, you'll learn what exceptions are good for in Python. You'll see how to raise exceptions and how to handle them with try ... except blocks."
https://realpython.com/how-to-python-f-string-format-float/,36m, ,How to Format Floats Within F-Strings in Python,Apr 17, 2024,basicspython,"In this tutorial, you'll learn how to use Python format specifiers within an f-string to allow you to neatly format a float to your required precision."
https://realpython.com/python-string-interpolation/,33m, ,String Interpolation in Python: Exploring Available Tools,Jun 03, 2024,basicsbest-practicespython,"In this tutorial, you'll learn about the different tools that Python provides for performing string interpolation. String interpolation allows you to create new strings by inserting different objects into a string template."
https://realpython.com/python-built-in-functions/,2h20m, ,Python's Built-in Functions: A Complete Exploration,Jul 01, 2024,basicspython,"In this tutorial, you'll learn the basics of working with Python's numerous built-in functions. You'll explore how to use these predefined functions to perform common tasks and operations, such as mathematical calculations, data type conversions, and string manipulations."
https://realpython.com/python-function-names/,18m, ,How Do You Choose Python Function Names?,Jul 10, 2024,basicspython,"This tutorial discusses the rules and conventions for choosing Python function names and why they're important."
https://realpython.com/python-lists-tuples/,28m, ,Lists vs Tuples in Python,Jan 26, 2025,basicspython,"In this tutorial, you'll learn the key characteristics of lists and tuples in Python, as well as how to define and manipulate them. When you're finished, you'll have a good feel for when to use a tuple vs a list in a Python program."
https://realpython.com/django-todo-lists/,1h4m, ,Manage Your To-Do Lists Using Python and Django,Mar 02, 2022,basicsadvanceddjangoprojectsweb-dev,"Use Django to build a to-do list manager app. This step-by-step project will teach you how to use Django's class-based views to build a powerful app while dramatically reducing your development time."
https://realpython.com/readme-python-project/,18m,,Creating Great README Files for Your Python Projects,Jun 24, 2024,basicsbest-practicesprojects,"In this tutorial, you'll learn how to create, organize, and format high-quality README files for your Python projects."
https://realpython.com/python-repl-autocompletion-highlighting/,12m, ,Python 3.14 Preview: REPL Autocompletion and Highlighting,Sep 17, 2025,basicspython,"Explore Python 3.14 REPL updates: import autocompletion, syntax coloring, and theme customization to help you code faster and read with ease."
https://realpython.com/what-does-arrow-mean-in-python/,17m, ,What Does -> Mean in Python Function Definitions?,Sep 15, 2025,basicspython,"Wondering what the arrow notation means in Python? Discover how -> is used in type hints, functions, and more, with clear explanations and examples."
https://realpython.com/how-to-drop-null-values-in-pandas/,18m, ,How to Drop Null Values in pandas With .dropna(),Sep 10, 2025,basicsdata-sciencepython,"Learn how to use .dropna() to drop null values from pandas DataFrames so you can clean missing data and keep your Python analysis accurate."
https://realpython.com/how-to-write-docstrings-in-python/,25m, ,How to Write Docstrings in Python,Aug 25, 2025,basicsbest-practices,"Learn to write effective Python docstrings that clearly and professionally document your code using best practices and built-in conventions."
https://realpython.com/python-continue/,28m, ,Skip Ahead in Loops With Python's Continue Keyword,Aug 04, 2025,basicspython,"Learn how Python's continue statement works, when to use it, common mistakes to avoid, and what happens under the hood in CPython byte code."
https://realpython.com/debug-python-errors/,19m, ,How to Debug Common Python Errors,Jul 14, 2025,basicspython,"Learn how to debug Python errors using tracebacks, print(), breakpoints, and tests. Master the tools you need to fix bugs faster and write better code."
https://realpython.com/python-print/,1h30m, ,Your Guide to the Python print() Function,Jun 25, 2025,basicspython,"Learn how Python's print() function works, avoid common pitfalls, and explore powerful alternatives and hidden features that can improve your code."
https://realpython.com/python-enumerate/,16m, ,Python enumerate(): Simplify Loops That Need Counters,Jun 23, 2025,basicsbest-practices,"Learn how to simplify your loops with Python’s enumerate(). This tutorial shows you how to pair items with their index cleanly and effectively using real-world examples."
