URL,Duration,Status,Title,Date,Tags,Description
https://realpython.com/python-absolute-value/,22m,,How to Find an Absolute Value in Python,Jun 04, 2025,basicspython,"Learn how to calculate the Python absolute value with abs(), implement the math behind it from scratch, and customize it in your own classes."
https://realpython.com/python-script-structure/,37m,,How Can You Structure Your Python Script?,Jun 02, 2025,basicspython,"Structure your Python script like a pro. This guide shows you how to organize your code, manage dependencies with PEP 723, and handle command-line arguments."
https://realpython.com/nested-loops-python/,25m,,Nested Loops in Python,May 21, 2025,basicspython,"Learn how to use nested loops in Python to iterate over multiple sequences and perform repeated actions efficiently in your programs."
https://realpython.com/python-break/,18m,,How to Exit Loops Early With the Python Break Keyword,Apr 16, 2025,basicspython,"In this tutorial, you'll explore various ways to use Python's break statement to exit a loop early. Through practical examples, such as a student test score analysis tool and a number-guessing game, you'll see how the break statement can improve the efficiency and effectiveness of your code."
https://realpython.com/python-in-operator/,34m,,"Python's \"in\" and \"not in\" Operators: Check for Membership",Jan 26, 2025,basicsbest-practicespython,"In this tutorial, you'll learn how to check if a given value is present or absent in a collection of values using Python's in and not in operators, respectively. This type of check is known as membership test in Python."
https://realpython.com/installing-python/,25m,,How to Install Python on Your System: A Guide,Jan 19, 2025,basicsbest-practicestools,"The first step to getting started with Python is to install it on your machine. In this tutorial, you'll learn how to check which version of Python, if any, you have on your Windows, Mac, or Linux computer and the best way to install the most recent version in any environment."
https://realpython.com/python-min-and-max/,44m,,Python's min() and max(): Find Smallest and Largest Values,Jan 18, 2025,basicspython,"In this tutorial, you'll learn how to use Python's built-in min() and max() functions to find the smallest and largest values. You'll also learn how to modify their standard behavior by providing a suitable key function. Finally, you'll code a few practical examples of using min() and max()."
https://realpython.com/replace-string-python/,18m,,How to Replace a String in Python,Jan 15, 2025,basicsbest-practices,"In this tutorial, you'll learn how to remove or replace a string or substring. You'll go from the basic string method .replace() all the way up to a multi-layer regex pattern using the sub() function from Python's re module."
https://realpython.com/django-diary-project-python/,38m,,Build a Personal Diary With Django and Python,Jan 13, 2025,basicsdjangofront-endprojectsweb-dev,"In this beginner-friendly tutorial, you'll build a personal diary in Django. You'll use the strengths of the Django web framework and learn the basics of web apps."
https://realpython.com/python-variables/,52m,,Variables in Python: Usage and Best Practices,Jan 12, 2025,basicspython,"In this tutorial, you'll learn how to use symbolic names called variables to refer to Python objects, and gain an understanding of how to effectively use these fundamental building blocks in your code to store, manipulate, and retrieve data."
https://realpython.com/python-dicts/,48m,,Dictionaries in Python,Dec 16, 2024,basicspython,"In this tutorial, you'll learn how to work with Python dictionaries to help you process data more efficiently. You'll learn how to create dictionaries, access their keys and values, update dictionaries, and more."
https://realpython.com/run-python-scripts/,24m,,How to Run Your Python Scripts and Code,Dec 08, 2024,basicsbest-practicesdevopspython,"A Python script or program is a file containing executable Python code. Being able to run Python scripts and code is probably the most important skill that you need as a Python developer. By running your code, you'll know if it works as planned."
https://realpython.com/python-input-output/,19m,,Basic Input and Output in Python,Dec 02, 2024,basicspython,"In this tutorial, you'll learn how to take user input from the keyboard with the input() function and display output to the console with the print() function. You'll also use readline to improve the user experience when collecting input and to effectively format output."
https://realpython.com/python-string-concatenation/,19m,,Efficient String Concatenation in Python,Nov 24, 2024,basicsbest-practicespython,"In this tutorial, you'll learn how to concatenate strings in Python. You'll use different tools and techniques for string concatenation, including the concatenation operators and the .join() method. You'll also explore other tools that can also be handy for string concatenation in Python."
https://realpython.com/python-zip-function/,18m,,Using the Python zip() Function for Parallel Iteration,Nov 17, 2024,basicspython,"In this step-by-step tutorial, you'll learn how to use the Python zip() function to solve common programming problems. You'll learn how to traverse multiple iterables in parallel and create dictionaries with just a few lines of code."
